Verein_nr;Spieler Name;player_nr;Datum;old_club_name;old_club_nr;old_club_country;new_club_name;new_club_nr;new_club_country;MW;Ablöse
;;364861;30.06.2020;amiens sc;1416;France;leicester city;1003;England;2,20 Mio €;Leih Ende
;;364861;04.09.2019;leicester city;1003;England;amiens sc;1416;France;3,00 Mio €;Leihe
;;364861;30.06.2019;sivasspor;2381;Tï¿½rkiye;leicester city;1003;England;3,00 Mio €;Leih Ende
;;364861;12.01.2019;leicester city;1003;England;sivasspor;2381;Tï¿½rkiye;3,00 Mio €;Leihe
;;364861;13.01.2018;gfc ajaccio;3558;France;leicester city;1003;England;-;2,00 Mio €
;;364861;01.07.2017;ea guingamp b;12748;France;gfc ajaccio;3558;France;-;ablösefrei
;;364861;01.07.2015;stade reims b;11204;France;ea guingamp b;12748;France;-;ablösefrei
;;364861;01.07.2014;stade de reims u19;12774;France;stade reims b;11204;France;-;-
;;364861;01.07.2012;stade reims u17;92744;France;stade de reims u19;12774;France;-;-
;;364861;01.07.2011;fc stade rennes jugend;99634;France;stade reims u17;92744;France;-;?
;;625816;01.07.2023;fc basel 1893;26;Switzerland;fc lausanne sport;527;Switzerland;700 Tsd €;ablösefrei
;;625816;30.06.2022;grasshopper club zurich;504;Switzerland;fc basel 1893;26;Switzerland;2,00 Mio €;Leih Ende
;;625816;31.08.2021;fc basel 1893;26;Switzerland;grasshopper club zurich;504;Switzerland;500 Tsd €;Leihe
;;625816;11.01.2021;omonia nikosia;829;Cyprus;fc basel 1893;26;Switzerland;500 Tsd €;Leih Ende
;;625816;21.08.2020;fc basel 1893;26;Switzerland;omonia nikosia;829;Cyprus;250 Tsd €;Leihe
;;625816;20.08.2020;juventus turin u19;11008;Italy;fc basel 1893;26;Switzerland;250 Tsd €;4,00 Mio €
;;625816;29.01.2019;usd vanchiglia 1915;57015;Italy;juventus turin u19;11008;Italy;-;?
;;342227;01.07.2022;fc stade lausanne ouchy;5499;Switzerland;fc lausanne sport;527;Switzerland;400 Tsd €;?
